offset_um,score,n_blobs
-736.0,169540.0,6
-737.0,217332.5,6
-738.0,218110.0,6
-739.0,197518.5,5
-740.0,216091.5,6
-741.0,209820.0,5
-742.0,195879.0,6
-743.0,196920.0,6
-744.0,193221.5,6
-745.0,182941.0,6
-746.0,178487.5,6
-747.0,149835.5,6
-748.0,130030.0,6
-749.0,173806.5,6
-750.0,127624.5,6
-751.0,107227.5,6
-752.0,113264.5,6
-753.0,117163.5,6
-754.0,104885.0,6
-755.0,98059.0,6
-756.0,90373.5,6
-757.0,81940.5,6
-758.0,89346.0,6
-759.0,79692.0,6
-760.0,83824.5,6
-761.0,74916.0,6
-762.0,73957.0,5
-763.0,93435.0,6
-764.0,84656.0,6
-765.0,81052.5,5
-766.0,103625.5,6
-767.0,96202.0,6
-768.0,80028.0,5
-769.0,99972.5,6
-770.0,81846.5,6
-771.0,81940.0,5
-772.0,89989.5,6
-773.0,108502.5,6
-774.0,95430.5,6
-775.0,92055.0,6
-776.0,136920.0,6
-777.0,136785.0,5
-778.0,149494.5,5
-779.0,141426.5,6
-780.0,152398.0,6
-781.0,141939.5,5
-782.0,145741.0,5
-783.0,143066.0,6
-784.0,126967.5,6
-785.0,123930.0,5
-786.0,133620.0,5
-787.0,134895.0,6
-788.0,89005.5,6
-789.0,117638.0,6
-790.0,120097.5,6
-791.0,118320.0,5
-792.0,113080.0,6
-793.0,122965.0,6
-794.0,120300.0,6
-795.0,88410.0,6
-796.0,121137.0,5
-797.0,121596.5,6
-798.0,118192.5,5
-799.0,112663.0,6
-800.0,119702.5,6
-801.0,120232.5,5
-802.0,122017.5,5
-803.0,108120.0,5
-804.0,88740.0,5
-805.0,89479.5,6
-806.0,77520.0,5
-807.0,81744.5,6
-808.0,88020.0,6
-809.0,73312.5,5
-810.0,85421.5,6
-811.0,82573.0,6
-812.0,83990.0,6
-813.0,83257.5,6
-814.0,76245.0,6
-815.0000000000001,73950.0,6
-816.0000000000001,71145.0,6
-817.0000000000001,83767.5,6
-818.0000000000001,74379.0,5
-819.0000000000001,83800.5,6
-820.0000000000001,79432.5,5
-821.0000000000001,80754.5,6
-822.0000000000001,73770.0,6
-823.0000000000001,80436.0,6
-824.0000000000001,75264.0,6
-825.0000000000001,73044.0,6
-826.0000000000001,81699.5,6
-827.0000000000001,74186.0,6
-828.0000000000001,72833.5,6
-829.0000000000001,82048.0,6
-830.0000000000001,76807.0,5
-831.0000000000001,72230.0,6
-832.0000000000001,82731.0,6
-833.0,74751.0,5
-834.0,90163.5,6
-835.0,84162.0,6
-836.0,85883.0,6
-837.0,92762.5,6
-838.0,80821.0,5
-839.0,72618.5,6
-840.0,79408.5,5
-841.0,79328.5,5
-842.0,84203.0,6
-843.0,85545.0,6
-844.0,81570.0,5
-845.0,83074.5,6
-846.0,84025.0,6
-847.0,83306.0,6
-848.0,85773.0,6
-849.0,84641.0,6
-850.0,82175.0,6
-851.0,79906.5,5
-852.0,85806.5,6
-853.0,81591.0,5
-854.0,87012.5,6
-855.0,86807.0,6
-856.0,81693.0,5
-857.0,84309.0,5
-858.0,116222.5,6
-859.0,117712.5,6
-860.0,87113.0,6
-861.0,81375.0,5
-862.0,84652.0,6
-863.0,86425.5,6
-864.0,77118.5,6
-865.0,83401.5,6
-866.0,85274.5,6
-867.0,84362.0,6
-868.0,74668.5,5
-869.0,73796.5,6
-870.0,75735.0,6
-871.0,69105.0,6
-872.0,73950.0,6
-873.0,70507.5,6
-874.0,67702.5,6
-875.0,68722.5,5
-876.0,66602.5,5
-877.0,72802.5,6
-878.0,72547.5,6
-879.0,78154.5,6
-880.0,67475.5,6
-881.0,70601.5,6
-882.0,76627.5,5
-883.0,69913.5,6
